Entry Name,Date Range,Entry ID,Cell Line/Genotype,Media Change Log,Experiments Performed,Notes
"20241105EB_MN (TDP43 w/ Thiamet-G and Ver, NCT with rescue)",2024-11-05 - 2024-11-29,etr_TJqHfXYf,not specified,"11/5 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 11/5-11/19, not fully confirmed by author); 11/20 T7->BP T8; 11/20 T8->T8 (accidental hypo exposure, corrected); 11/20-11/22 BP T8 volume 200->300uL","11/27-11/29 TDP43/NCT (nuclear-cytoplasmic transport) live imaging with rescue conditions: BP (2.5mM), hypo (0.15mM), hypo+Verdinexor 150nM, hypo+Thiamet-G 10uM; JFX650/SPY595 dye labeling; imaged at 1h/3h/24h timepoints (24h data flagged do-not-use due to unhealthy cells/insufficient media)","Do NOT use 24h timepoint data (cells unhealthy, media volume insufficient); virus 110 (well B) and 111 (well C) used; Thiamet-G and Verdinexor rescue drugs tested"
20250210EB_MN,2025-02-10 - 2025-03-07,etr_s4MOcm2L,"vLH92, vLH110, vLH111, vLH129",2/10 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 2/10-2/24); 2/25 T7->T7; 2/25 T7->BP T8; 2/25-3/4 BP T8 volume adjustments (200->300uL); dox induction (0.1 then 1ug/mL) added to Plate C for ER-GEM expression,"3/5-3/7 live imaging: astrocyte co-culture (Plate A given to Fra), TIC (thiamine induced cleavage?) reporter, 4AP, TTX, Thiamet-G, DMSO conditions on vLH92/vLH110/vLH111/vLH129 reporter lines; dual-camera GFP/Cy5/DsRed/Dapi-GFPem imaging","DO NOT USE - explicit note at top: 'do not use due to the bleedthrough from the microscope'; vLH110/vLH111 not imaged at the end; Plate A/B cells (rows A/B) looked bad; documented bleedthrough issues (GFP->Cy5, DsRed->Dapi-GFPem)"
20250217EB_MN (qPCR),2025-02-17 - 2025-03-24,etr_5v4CIxfs,WT-11,2/17 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 2/17-3/3); 3/5 T7->T7; 3/5 T7->BP T8; 3/5-3/10 BP T8 volume 700->800uL,"3/10-3/12 hypo/rescue treatment (BP 1h, hypo 1h, hypo 24h, each +24h rescue) on Well1/Well2; 3/21-3/22 RNA extraction (TRIzol); RT (Maxima H Minus) and qPCR (STMN2, STMN2-cry, UNC13A, UNC13A-cry, ACTB, GAPDH) run 3/24, compared against archived 240603EB samples (4517/5319)",TRIzol froze in -80 causing delay; RNA precipitation incubated -20C o/n instead of 4C to improve yield; qPCR compared new WT-11 hypo/rescue samples against older 5319/4517 hypo samples from 20240603 batch
20250224EB_MN (GC-MS),2025-02-24 - 2025-03-26,etr_ljrpExSs,not specified (vLH92 mentioned for imaging),2/24 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 2/24-3/10); 3/12 T7->T7; 3/12 T7->BP T8; 3/12-3/17 BP T8 volume 700->800uL,"3/17 heavy/labeled glucose media change (2.5mM BP T8, 0.15mM C12-glucose, 2.5mM C13-glucose, 0.15mM C13-glucose) for isotope tracing; 3/18 GC-MS metabolite extraction (with Zixuan); 3/18 imaging attempt on Plate B (failed - new vLH92 didn't express, <5 signal-positive cells found); GC result discussion of labeling patterns (pyruvate, alanine, glycine, valine, succinate, glutamate, citrate)","Fewer EBs than usual this batch; Plate B imaging failed due to poor vLH92 expression; follow-up recommendations: avoid Na pyruvate in media, add coating/media-only controls, check BrainPhys/StemFlex composition"
20250303EB_MN (GC-MS),2025-03-03 - 2025-04-11,etr_Fm2FPWPv,WT-11 (Halo-Tag-TARDBP N-term),3/3 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 3/3-3/17); 3/19 T7->T7; 3/19 T7->BP T8; 3/19-3/22 BP T8 volume 700->800uL,"3/22-3/27 isotope tracing glucose treatments (2.5/20/0.15mM C13-glucose and 2.5mM C12-glucose, 1h and 24h) on MN and iPSC samples plus coating-only and media-only controls; 3/28 GC-MS extraction trial #2; 4/11 GC-MS data analysis of metabolite labeling patterns (pyruvate, lactate, alanine, glycine, valine, succinate, etc.) across MN, iPSC, coating and media control samples","Used Neurobasal-A without glucose/Na-pyruvate this round (protocol refinement from 20250224 batch); new WT-11 hiPSC line (Halo-Tag-TARDBP N-term, P16) thawed 3/19 for parallel iPSC comparison; extensive GC-MS metabolic analysis with Pacold lab follow-up planned"
"20250310EB_MN (CellTiter-Glo, RNA, imaging)",2025-03-10 - 2025-04-04,etr_lR7yIaLW,"not specified (vLH92, vLH110, vLH111, vLH129, vLH165 used)","3/10 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6; T6->T7 (approx 3/10-3/24); 3/25 T7->T7 (Plate B) / T7->T7 (Plate A,C); 3/26 T7->BP T8; 3/26-3/27 BP T8 volume 1/2->1/2 (fresh media top-up)","3/31-4/2 hypoglycemia dose/time-course (2.5mM/0.15mM glucose, 1h/24h) prep and treatment across plates A/B/C; 4/2 CellTiter-Glo ATP viability assay on Plate C with ATP calibration curve; 4/3 RNA extraction (Plate A, TRIzol) and imaging prep (Plate B); 4/4 live imaging (import/export reporter assay with SirDNA/JFX/SPY595, TDP43) on Plate B","DO NOT USE THIS BATCH - explicit note: cells with low/no glucose died, all cells looked unhealthy; Plate B wells B4/C4/D4 died (possible contamination, black particles in media); Plate C wells C1-3/D1-3 died after 24h treatment (do not use that data); import/export reporter experiments did not finish - reporters largely non-functional in unhealthy cells"
"20250318EB_MN (MS, qPCR)",2025-03-18 - 2025-04-11,etr_HmCVFax4,"WT-11 (implied, not explicitly named)","3/18 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (dates not recoverable, sequence only, filename range 3/18-4/11)","4/7 LC-MS treatment (11:10am) and metabolite tracing with C12/C13-glucose at 2.5mM/0.15mM +/- Na Pyruvate/N2B27, 24h; 4/10 qPCR 24h treatment; 4/11 LC-MS extraction, qPCR (1h/24h glucose x pyruvate x N2B27 conditions), RNA/TRIZol collection for qPCR",Extensive cell death in plate B/C wells (0.15mM/2.5mM C12/C13-glu conditions) attributed to low glucose without pyruvate/N2B27 supplementation; testing whether 0.5mM Na Pyruvate or N2B27 rescues survival at low glucose; same issue seen in prior batch 250310EB_MN
"20250407EB_MN (celltiter glo, ATP, NCT, GC, RNA)",2025-04-07 - 2025-05-16,etr_GsAk2enq,WT11 (P16+),"4/7 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7; T7->T7/T7->BP T8 (~4/22-24, with vLH92/vLH110/vLH111 virus added to some wells); T7->T8 (new no-glu N2B27 recipe); 4/28 change to T8 with C13-glucose; 1/2 T8->1/2 T8 continuing to 5/1-5/2","4/28 CellTiter Glo ATP assay (plate A, 1h glucose titration); 4/29-4/30 prepare ATP calibration/glucose dilutions; 5/1 GC-MS sample extraction (plate C, C12/C13 glucose tracing), RNA extraction (plate D), NCT/live imaging (plate B) with vLH92/vLH110/vLH111 across glucose conditions +/- MG132; 5/2 imaging (vLH110, vLH111) with JOBS/ND acquisition; 5/16 GC-MS data analysis practice (isotopomer abundance calculations)","Plate B cells unhealthy (many dead cells on cluster); plate A column 7 mostly died; forgot to change media on Saturday; JOBS module imaging software issues (first time use, some acquisition errors); questions raised for Zixuan on GC-MS analysis method"
"20250414EB_MN (NCT, ATP, TDP43, RNA)",2025-04-14 - 2025-05-09,etr_sAmZoZFh,WT11 (P16+1),4/14 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~4/28-29); T7->T7 (+/- virus); T7->T8; 1/2 T8->1/2 T8 x3 (through ~5/7),"5/8 RNA extraction (plate A, TriZol) 1h glucose treatment; 5/8 NCT/GCaMP-style imaging (plate B, vLH110/vLH111, glucose titration +/- FCCP/2DG, SirDNA); 5/9 TDP43 imaging (Halo dye, soma+neurite, vLH92) separating MN vs non-MN populations across glucose conditions","TDP43 movie showed very few moving particles, needs double-checking of movie analysis"
"20250422EB_MN (Glo, 92)",2025-04-22 - 2025-05-15,etr_KWq3H3XK,WT11 (P16+3),"4/22 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~5/6, vLH92 virus added); T7->T7; T7->T8 (switched between T8 full supp w/ 0.5mM or 1.5mM pyruvate and BP T8 w/1.5mM pyruvate for plates B/C after 5/8); 1/2 T8->1/2 T8 continuing through 5/12-5/14","5/14-5/15 CellTiter Glo ATP assay (plate C, glucose titration 0-20mM +/- 1.5mM pyruvate); 5/15 vLH92 endpoint imaging (plate A, NT vs no-glucose, MN vs non-MN, 0/1.5mM pyruvate x 0/2.5mM glucose)","Cells looked unhealthy with standard T8 media, so switched to higher pyruvate/BP media mid-experiment; plate B died, used plate C instead for CellTiter Glo; 8-well suction detached most cells (switched to multichannel pipette); treatment records for plate A conditions D1/D2 were lost, so treatment identity uncertain"
"20250428EB_MN (Glo, imaging, IF)",2025-04-28 - 2025-05-23,etr_hIi1TTZ4,WT11,"4/28 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~5/13, vLH92/vLH110/vLH111 virus added); T7->T8 (plate B,C with 0.5mM pyruvate; plate A used varying T8/BP T8 media 0.5-1.5mM pyruvate for comparison); 1/2 T8->1/2 T8 through 5/17-5/21","5/21 imaging plate A (motor neuron only, NT vs no-glucose +/- FCCP/2DG across T8/BP T8 pyruvate variants) and IF fixation start (plate A: PFA fix, permeabilization - forgot Triton X initially); CellTiter Glo (plate C); 5/22 IF secondary antibody/DAPI + primary antibody incubation (MNX1/HB9, TUBB3, VAChT, MAP2, SOX2 markers), CellTiter Glo continued; 5/23 imaging plate B (vLH110/vLH111 GCaMP-style, glucose titration +/- FCCP/2DG/SirDNA)",Forgot to permeabilize IF plate A cells initially (redone with Triton-X); several imaging positions out of focus due to bubbles/drift in plate B
"20250505EB_MN (RNA, NCT, ATP)",2025-05-05 - 2025-05-29,etr_SxL9yIYe,WT11 (16+7),"5/5 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~5/20, vLH92/vLH110/vLH111); T7->T7; T7->T8; 1/2 T8->1/2 T8 through 5/22-5/27","5/27-5/28 RNA extraction (plate A, glucose treatment); MG132 (1.5uM) preparation and treatment (plate B/C conditions E/F); 5/28-5/29 NCT/GCaMP imaging (plate B, vLH92 and vLH110/vLH111, glucose titration 0/0.15/2.5mM +/- DMSO/MG132, +/- FCCP/2DG, SirDNA)",Cells 'still not that optimal'; plate C set aside for Sydney
"20250513EB_MN (NCT, ATP, TDP43, IF)",2025-05-13 - 2025-06-09,etr_SNx8xBT5,WT11 (P16+9),"5/13 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~5/28, vLH92/vLH110/vLH111 virus); T7->BP T8 (with additional 1mM Na pyruvate, later w/o extra pyruvate) through 5/30-6/4","6/4 vLH110/vLH111 timelapse GCaMP-style imaging; 6/4 vLH92 ATP imaging (glucose titration +/- FCCP/2DG, SirDNA, 16-bit); 6/6 TDP43 imaging (Halo dye/JFX650, soma+neurite movie); 6/6 IF staining setup (fix/permeabilize/block, primary antibody o/n) with MNX1/HB9, TUBB3, VAChT, MAP2, TDP-43 antibodies",Switched imaging to 16-bit (improved signal/noise vs 12-bit); BP media protocol referenced published protocol (PMC4443325) regarding pyruvate concentration and cytosolic acidification
"20250520EB_MN (NCT, ATP, TDP43)",2025-05-20 - 2025-06-13,etr_XuA7MxEI,WT11 (16+11),"5/20 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~6/3-6/4, vLH92/vLH110/vLH111 virus); T7->T7; 1/2 BP T8->1/2 BP T8 (plate A) and 1/2 T8->1/2 T8 (CD56) through 6/5-6/9","6/9 vLH92 imaging at 40x and 60x (comparison); TDP43 imaging planned at 1h and 24h; 6/12 TDP43 imaging (AB56, Halo dye) at ~8:10-8:30pm; 6/13 attempted imaging of plate A (C5/D56 died, AB56 sick - experiment not performed)","Cells on glass didn't look very well; 40x imaging results looked abnormal, possibly due to photo-toxicity from repositioning by Stephanie; C5/D56 wells died and AB56 looked sick by 6/13, hypothesized due to Na Pyruvate concentration change mid-week; accidentally mixed old (with Glutamax/BME) and new (without) 0mM glucose media"
"20250527EB_MN (ATP, CellTiter Glo)",2025-05-27 - 2025-06-20,etr_155PvXSE,WT11 (P16+13),"5/27 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~6/11-6/12); T7->BP T8 (1.5mM pyruvate, 1mM extra); 1/2 BP T8->1/2 BP T8 through 6/15-6/19","6/19-6/20 CellTiter Glo ATP assay (plate B) testing NB-A vs full T8 media across 16 conditions (varying pyruvate, N2/B27, GlutaMax, T8 supp, 0/2.5mM glucose, +/- FCCP/2DG); 6/20 imaging (plate A) with 2DG titration (0.2-10mM) and glucose dilution series","ATP standard readout was low previously, used new aliquot for standard curve; PLO coating done overnight 6/6, laminin coating 6/7"
20250603EB_MN (GCamp with Stephanie),2025-06-03 - 2025-06-25,etr_TrKVFDVl,WT11 (P16+15),"6/3 T2 start (accutase detachment trial); T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~6/18, vLH74 virus); T7->BP T8; 1/2 T8->T8 and 1/2 T8->1/2 T8 through 6/19-6/20","6/20-6/25 GCaMP calcium imaging by Stephanie (vLH74, 2 positions simultaneously, 4s interval, 200ms exposure, GFP/DsRed dual camera)","Trypsin was very strong, cells clumped/became viscous quickly; imaging performed by Stephanie, collaborative experiment"
"20250609EB_MN (NCT, GCamp, ER-GEM)",2025-06-09 - 2025-07-03,etr_BC5DFDpM,WT11 (P16+18),"6/9 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~6/23-24, dissociation performed by Stephanie); T7->BP T8; 1/2 T8->1/2 T8 (x3, including Stephanie's wells with vLH129 Dox induction) through 6/24-6/30","6/30 Stephanie treated vLH129 with Dox (1ug/mL); NCT imaging testing conditions 7 vs 8 from 20250527MN (NB-A media, 0/2.5mM glucose); 7/2-7/3 vLH110/vLH111 NCT imaging (16-bit, glucose titration) and Stephanie's GCaMP/ER-GEM imaging experiments (vLH74, vLH129)",110_6 position 2 first frame out of focus due to bubble (excluded from analysis); collaborative batch shared with Stephanie for GCaMP/ER-GEM sensor experiments
"20250616EB_MN (NCT, ATP, TDP43)",2025-06-16 - 2025-07-10,etr_uY5HoQrL,WT11 (16+19),"6/16 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~6/30-7/1, new vLH110/vLH111/vLH92 virus, trypsin vs accutase dissociation methods compared in parallel); T7->BP T8 through 7/4; 1/2 BP T8->1/2 BP T8 through 7/7","7/8-7/9 NCT imaging (plate A, vLH110/vLH111, 16-bit, glucose + 2DG titration) and ATP imaging (plate A/B, vLH92); 7/10 ATP/ADP ratio imaging (vLH92, column4) and TDP43 imaging (plate B, JFX650/SPY595, snapshot + neurite positions)","Almost all cells on plate C died (~8 wells survived), suspected coating or luminescence reagent issue; compared 1uL vs 3uL virus volume for vLH110/vLH111 (3uL gave better expression, adopted going forward); compared trypsin vs accutase dissociation in parallel this run"
"20250623EB_MN (ATP, NCT, TDP43)",2025-06-23 - 2025-07-23,etr_dBnO4uHVFB,WT11 (P1),"6/23 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~7/8, new vLH110/vLH111/vLH92 virus, plate B for Stephanie with vLH129/vLH74); T7->BP T8 (1mM extra pyruvate); 1/2 T8->1/2 T8 x3 through 7/10-7/16","7/18-7/19 NCT imaging (vLH110/vLH111, glucose+MG132 titration); ATP/ADP ratio imaging (vLH92, column1); TDP43 imaging (JFX650/SPY595, snapshot+movie, multiple glucose/MG132/pyruvate-only conditions, 1h and 24h treatments); 7/21 additional TDP43 imaging with fresh Halo dye at multiple time points; 7/23 media change and imaging of well D5","vLH111 virus expression still weak (mCherry+ cells present but low intensity); condition 3 (0mM glucose) showed disturbed neurite morphology with empty holes, couldn't identify non-MN cells; several imaging positions out of focus due to bubbles"
"20250630EB_MN (ATP, NCT, TDP43, RNA)",2025-06-30 - 2025-07-24,etr_o1R2cVHgeF,WT11 (P3),"6/30 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~7/15, vLH92/vLH110/vLH111 virus); T7->T8; 1/2 T8->1/2 T8 through 7/17-7/18","7/21 treat plate for 24h timepoint conditions; 7/22-7/23 NCT imaging (vLH110/vLH111, glucose titration, SirDNA); ATP/ADP ratio imaging (vLH92, column4); TDP43 imaging (plate B, JFX650, 15 positions/well, referencing shared conditions with 20250623MN); RNA collection (plate C, glucose +/- DMSO/MG132 treatments); 7/24 RNA collection, MG132 dilution/treatment",Plate B DNA signal (SPY595) was weak with only 1h treatment so extended to 24h treatment to maximize signal; 110 24h 0.15mM condition showed sudden intensity drop frames 28-33 (truncated for model fitting); accidentally used different laser power than usual (30% vs typical) for one imaging run
"20250721EB_MN (ATP, NCT, TDP43, IF)",2025-07-21 - 2025-08-20,etr_hbNz4hbSNs,WT11 (P2),"7/21 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend x2); T6->T7 (~8/4-8/5, vLH92/vLH110/vLH111 virus); T7->T7; T7->T8; 1/2 T8->1/2 T8 through 8/6-8/12","8/13 NCT and ATP imaging (vLH110/vLH111/vLH92, 16-bit); TDP43 imaging setup (JFX650, MG132/Tunicamycin/Thapsigargin/arsenite stress conditions) and IF prep; 8/14 stress-condition TDP43 timelapse imaging (DMSO, MG132, tunicamycin, arsenite - up to 7h post-treatment); 8/18 fix cells (PFA) for IF, primary antibody incubation; 8/19-8/20 IF secondary antibody/DAPI staining and imaging (TDP-43, phospho-TDP-43 S409/410, G3BP1, Orf1p, Lamin B1, RanGAP1 markers)","111 virus signal improved but still low intensity; arsenite treatment caused nuclear shrinkage and cell rounding within 2 hours; multiple ER/proteostasis stressors (MG132, tunicamycin, thapsigargin, arsenite) tested for TDP43 mislocalization/stress granule (G3BP1) response"
"20250728EB_MN (seahorse, RNA, TDP43)",2025-07-28 - 2025-08-21,etr_pX5P2YmMGI,WT11 (P5),"7/28 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (~8/11); T7->BP T8; 1/2 BP T8->BP T8, then 1/2 T8->1/2 T8 through 8/13-8/15","8/18 Seahorse assay (plate A); plate C 24h drug treatment (MG132/tunicamycin dose-response); plate B imaging setup (SPY595 DNA dye); 8/20 Plate B imaging (glucose 1h/24h/preassay conditions +/- DMSO/MG132); 8/20-8/21 TDP43 imaging (JFX650, dose-response MG132 0.07-6uM and tunicamycin 0.04-3uM at 6h, glucose 2.5/0.15mM, 26 conditions imaged)",First use of Seahorse extracellular flux assay in this batch series; extensive MG132/tunicamycin dose-response titration combined with glucose levels for TDP43 imaging
"20250818EB_MN (TDP43, seahorse)",2025-08-18 - 2025-09-14,etr_cg279fj1lZ,WT11,8/18 T2 start; 8/20 T2->T3; 8/22 T3->T4; 8/25 T4->T5; 8/27 T5->T6; 8/29 T6->T6; 9/2 T6->T7; 9/4 T7->T7; 9/5 T7->BPT8; 9/7 1/2BPT8->1/2BPT8; 9/9 1/2BPT8->1/2BPT8,"9/10-9/12 Seahorse Mito Stress assay (oligomycin/FCCP/Rot-AA, 2.5mM vs 0.15mM glucose) with SPY595/JFX650 Halo-TDP43 live imaging (1h, 4h, 24h glucose timepoints, +/- MG132, +/- Verdinexor); 9/12 TDP43-Halo imaging incl. proteasome (MG132) and XPO1/Verdinexor treatments; 9/14 reimage of 0.15mM 24h condition","24h timepoint excluded from analysis - original vs reimaged results were inconsistent (do not use 24h data); B1 initially had low Halo signal, resolved on reimage"
